time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm,,
23:27.2,23.23491264,23.14747646,72.20263981,1016.514243,-27.14,0.44,FALSE,,
23:27.4,23.26428626,23.17140508,72.21942473,1016.574326,-27.64,0,FALSE,,
23:27.5,23.221561,23.15545304,72.18280308,1016.515559,-27.15,0.01,FALSE,,
23:27.7,23.25093462,23.16342924,72.1965362,1016.558042,-27.5,0.2,FALSE,,
23:27.8,23.26428626,23.17140508,72.16144045,1016.585554,-27.73,1,FALSE,,
23:28.0,23.23491264,23.15545304,72.18432898,1016.530529,-27.28,1.74,FALSE,,
23:28.1,23.25093462,23.16342924,72.16906996,1016.550556,-27.44,0.77,FALSE,,
23:28.3,23.26428626,23.16342924,72.18280308,1016.539328,-27.35,1.62,FALSE,,
23:28.4,23.26428626,23.17140508,72.16144045,1016.570583,-27.61,0.53,FALSE,,
23:28.6,23.2776379,23.17140508,72.15533684,1016.563097,-27.55,0,FALSE,,
23:28.7,23.26428626,23.15545304,72.15228504,1016.519301,-27.18,0.03,FALSE,,
23:28.9,23.26428626,23.15545304,72.14312963,1016.523044,-27.21,0.63,FALSE,,
23:29.0,23.29098955,23.17938055,72.12939651,1016.575637,-27.65,0.77,FALSE,,
23:29.2,23.23491264,23.17140508,72.11871519,1016.56684,-27.58,0.87,FALSE,,
23:29.3,23.2776379,23.17938055,72.14618143,1016.583122,-27.71,0.82,FALSE,,
23:29.5,23.25093462,23.16342924,72.12024109,1016.546814,-27.41,0.82,FALSE,,
23:29.6,23.26428626,23.16342924,72.13397421,1016.550556,-27.44,0,FALSE,,
23:29.8,23.25093462,23.17140508,72.10498207,1016.563097,-27.55,0,FALSE,,
23:30.0,23.25093462,23.15545304,72.10498207,1016.508073,-27.09,0.17,FALSE,,
23:30.1,23.23491264,23.15545304,72.1278706,1016.47439,-26.81,0.55,FALSE,,
23:30.3,23.25093462,23.16342924,72.10498207,1016.56927,-27.6,1.65,FALSE,,
23:30.4,23.23491264,23.16342924,72.10955978,1016.531843,-27.29,1.76,FALSE,,
23:30.6,23.23491264,23.15545304,72.08819715,1016.530529,-27.28,1.65,FALSE,,
23:30.7,23.25093462,23.15545304,72.08361944,1016.549242,-27.43,1.58,FALSE,,
23:30.9,23.25093462,23.16342924,72.12024109,1016.576755,-27.66,0.17,FALSE,,
23:31.0,23.23491264,23.17140508,72.08819715,1016.56684,-27.58,0,FALSE,,
23:31.2,23.25093462,23.15545304,72.0561532,1016.549242,-27.43,0.06,FALSE,,
23:31.3,23.23491264,23.17140508,72.06073091,1016.585554,-27.73,0.1,FALSE,,
23:31.5,23.23491264,23.15545304,72.06988632,1016.526786,-27.25,0.43,FALSE,,
23:31.6,23.26428626,23.16342924,72.059205,1016.550556,-27.44,2.47,FALSE,,
23:31.8,23.25093462,23.15545304,72.06530861,1016.549242,-27.43,1.68,FALSE,,
23:31.9,23.25093462,23.16342924,72.08361944,1016.543071,-27.38,1.54,FALSE,,
23:32.1,23.221561,23.15545304,72.06530861,1016.504331,-27.06,0.22,FALSE,,
23:32.2,23.23491264,23.16342924,72.05157549,1016.546814,-27.41,0.77,FALSE,,
23:32.4,23.221561,23.15545304,72.05004959,1016.508073,-27.09,0,FALSE,,
23:32.5,23.25093462,23.15545304,72.08361944,1016.538014,-27.34,0.09,FALSE,,
23:32.7,23.25093462,23.15545304,72.0561532,1016.564213,-27.56,0.69,FALSE,,
23:32.8,23.23491264,23.15545304,72.05157549,1016.538014,-27.34,0.79,FALSE,,
23:33.0,23.25093462,23.15545304,72.0561532,1016.534272,-27.31,1.7,FALSE,,
23:33.2,23.26428626,23.14747646,72.04089418,1016.514243,-27.14,1.65,FALSE,,
23:33.3,23.221561,23.13949952,72.06530861,1016.475501,-26.82,0.71,FALSE,,
23:33.5,23.25093462,23.15545304,72.03631647,1016.530529,-27.28,0,FALSE,,
23:33.6,23.25093462,23.14747646,72.02716106,1016.503015,-27.05,0,FALSE,,
23:33.8,23.23491264,23.15545304,72.02410925,1016.541757,-27.37,0.07,FALSE,,
23:33.9,23.25093462,23.14747646,72.04547189,1016.506758,-27.08,0.44,FALSE,,
23:34.1,23.26428626,23.14747646,72.03173877,1016.506758,-27.08,1.47,FALSE,,
23:34.2,23.23491264,23.15545304,72.02410925,1016.519301,-27.18,2.61,FALSE,,
23:34.4,23.25093462,23.15545304,72.02716106,1016.549242,-27.43,1.68,FALSE,,
23:34.5,23.25093462,23.15545304,71.99053941,1016.534272,-27.31,1.56,FALSE,,
23:34.7,23.25093462,23.14747646,72.02716106,1016.503015,-27.05,0.64,FALSE,,
23:34.8,23.23491264,23.15545304,71.9859617,1016.485617,-26.9,0,FALSE,,
23:35.0,23.221561,23.17140508,72.02868696,1016.544383,-27.39,0.09,FALSE,,
23:35.1,23.23491264,23.17140508,71.9859617,1016.52567,-27.24,0.31,FALSE,,
23:35.3,23.23491264,23.17140508,71.97680629,1016.548126,-27.42,0.47,FALSE,,
23:35.4,23.25093462,23.17140508,72.00885023,1016.536898,-27.33,1.7,FALSE,,
23:35.6,23.25093462,23.17938055,71.99664302,1016.545694,-27.4,1.71,FALSE,,
23:35.7,23.23491264,23.17140508,71.95849546,1016.540641,-27.36,1.62,FALSE,,
23:35.9,23.221561,23.17140508,71.95391775,1016.521927,-27.2,0.59,FALSE,,
23:36.0,23.25093462,23.17938055,72.00885023,1016.541951,-27.37,0.05,FALSE,,
23:36.2,23.221561,23.17140508,71.95391775,1016.56684,-27.58,0,FALSE,,
23:36.3,23.25093462,23.17938055,71.94171054,1016.52698,-27.25,0.2,FALSE,,
23:36.5,23.23491264,23.17938055,71.92797742,1016.57938,-27.68,0.69,FALSE,,
23:36.7,23.25093462,23.17140508,71.93255512,1016.551869,-27.45,0.77,FALSE,,
23:36.8,23.23491264,23.18735565,71.93713283,1016.599403,-27.85,1.76,FALSE,,
23:37.0,23.221561,23.17938055,71.9142443,1016.590608,-27.78,1.65,FALSE,,
23:37.1,23.23491264,23.17938055,71.93713283,1016.586865,-27.74,1.44,FALSE,,
23:37.3,23.25093462,23.17938055,71.92187381,1016.57938,-27.68,0.38,FALSE,,
23:37.4,23.23491264,23.18735565,71.90966659,1016.591918,-27.79,0,FALSE,,
23:37.6,23.25093462,23.18735565,71.91271839,1016.584432,-27.72,0.01,FALSE,,
